file,ground_truth,extracted_text,word_error_rate,character_error_rate,precision,recall,f1,exact_match_char,elapsed
0087.png,cultu-,cultu,"1,00","0,17","1,00","0,83","0,91",False,"1,25"
0088.png,"rais,",raiz,"1,00","0,40","0,75","0,60","0,67",False,"2,03"
0089.png,tendo,tendo,"0,00","0,00","1,00","1,00","1,00",True,"1,16"
0090.png,foco,faco,"1,00","0,25","0,75","0,75","0,75",False,"91,65"
0091.png,nas,nas,"0,00","0,00","1,00","1,00","1,00",True,"1,12"
0092.png,mais,máis,"1,00","0,25","0,75","0,75","0,75",False,"5,22"
0093.png,diferentes,diferentes,"0,00","0,00","1,00","1,00","1,00",True,"1,20"
0094.png,do,da,"1,00","0,50","0,50","0,50","0,50",False,"1,34"
0095.png,padrão,padrão,"0,00","0,00","1,00","1,00","1,00",True,"4,56"
0096.png,criado,criado,"0,00","0,00","1,00","1,00","1,00",True,"2,58"
0097.png,pela,pela,"0,00","0,00","1,00","1,00","1,00",True,"1,32"
0098.png,"população,",população,"1,00","0,10","1,00","0,90","0,95",False,"1,06"
0099.png,principalmente,principalmente,"0,00","0,00","1,00","1,00","1,00",True,"1,41"
0100.png,as,as,"0,00","0,00","1,00","1,00","1,00",True,"1,14"
0101.png,que,que,"0,00","0,00","1,00","1,00","1,00",True,"2,60"
0102.png,envolve,enude,"1,00","0,57","0,60","0,43","0,50",False,"1,23"
0103.png,povos,paulos,"1,00","0,60","0,50","0,60","0,55",False,"1,03"
0104.png,negros,ne gros,"2,00","0,17","0,86","1,00","0,92",False,"1,85"
0105.png,que,que,"0,00","0,00","1,00","1,00","1,00",True,"1,24"
0106.png,permanecem,perma ne cem,"3,00","0,20","0,83","1,00","0,91",False,"1,19"
0107.png,com,com,"0,00","0,00","1,00","1,00","1,00",True,"1,26"
0108.png,suas,suas,"0,00","0,00","1,00","1,00","1,00",True,"1,33"
0109.png,tradições,tradições,"0,00","0,00","1,00","1,00","1,00",True,"0,97"
0110.png,trazidas,trazidas,"0,00","0,00","1,00","1,00","1,00",True,"5,11"
0111.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"1,06"
0112.png,seu,seu,"0,00","0,00","1,00","1,00","1,00",True,"1,12"
0113.png,países.,paises,"1,00","0,29","0,83","0,71","0,77",False,"1,17"
0114.png,o,,"1,00","1,00","0,00","0,00","0,00",False,"1,05"
0115.png,ensino,ensino,"0,00","0,00","1,00","1,00","1,00",True,"1,25"
0116.png,da,da,"0,00","0,00","1,00","1,00","1,00",True,"1,09"
0117.png,pluralidade,pluráridade,"1,00","0,18","0,82","0,82","0,82",False,"3,27"
0118.png,e,,"1,00","1,00","0,00","0,00","0,00",False,"0,82"
0119.png,diversidade,diversidade,"0,00","0,00","1,00","1,00","1,00",True,"1,84"
0120.png,do,,"1,00","1,00","0,00","0,00","0,00",False,"1,41"
0121.png,lu-,,"1,00","1,00","0,00","0,00","0,00",False,"1,30"
0122.png,gar,gar,"0,00","0,00","1,00","1,00","1,00",True,"0,83"
0123.png,onde,ondas,"1,00","0,50","0,60","0,75","0,67",False,"1,03"
0124.png,vivemos,vivemos,"0,00","0,00","1,00","1,00","1,00",True,"1,44"
0125.png,deve,deve,"0,00","0,00","1,00","1,00","1,00",True,"1,19"
0126.png,ser,ser,"0,00","0,00","1,00","1,00","1,00",True,"1,18"
0127.png,implantado,implantado,"0,00","0,00","1,00","1,00","1,00",True,"1,23"
0128.png,nas,nas,"0,00","0,00","1,00","1,00","1,00",True,"1,06"
0129.png,ins-,ins,"1,00","0,25","1,00","0,75","0,86",False,"1,02"
0130.png,tituições,tituicações,"1,00","0,22","0,82","1,00","0,90",False,"1,17"
0131.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"1,03"
0132.png,ensino,en sino,"2,00","0,17","0,86","1,00","0,92",False,"1,20"
0133.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"1,31"
0134.png,nosso,nosso,"0,00","0,00","1,00","1,00","1,00",True,"1,07"
0135.png,"país,",páis,"1,00","0,60","0,50","0,40","0,44",False,"1,50"
0136.png,para,para,"0,00","0,00","1,00","1,00","1,00",True,"0,96"
0137.png,apren-,apren,"1,00","0,17","1,00","0,83","0,91",False,"1,04"
0138.png,dermos,dermos,"0,00","0,00","1,00","1,00","1,00",True,"1,34"
0139.png,desde,desde,"0,00","0,00","1,00","1,00","1,00",True,"1,45"
0140.png,cedo,cedo,"0,00","0,00","1,00","1,00","1,00",True,"4,44"
0141.png,a,,"1,00","1,00","0,00","0,00","0,00",False,"1,12"
0142.png,valorizar,valorizar,"0,00","0,00","1,00","1,00","1,00",True,"1,61"
0143.png,e,,"1,00","1,00","0,00","0,00","0,00",False,"1,27"
0144.png,enaltecer,enaltere,"1,00","0,22","0,88","0,78","0,82",False,"1,11"
0145.png,a,,"1,00","1,00","0,00","0,00","0,00",False,"1,22"
0146.png,nossa,nossa,"0,00","0,00","1,00","1,00","1,00",True,"1,23"
0147.png,cultura.,cultura.,"0,00","0,00","1,00","1,00","1,00",True,"1,38"
0148.png,tendo,tendo,"0,00","0,00","1,00","1,00","1,00",True,"2,18"
0149.png,em,em.,"1,00","0,50","0,67","1,00","0,80",False,"3,27"
0150.png,vista,vista,"0,00","0,00","1,00","1,00","1,00",True,"1,08"
0151.png,as,.as,"1,00","0,50","0,67","1,00","0,80",False,"2,80"
0152.png,falhas,falhas,"0,00","0,00","1,00","1,00","1,00",True,"2,14"
0153.png,"governamentais,",governamentais,"1,00","0,07","1,00","0,93","0,97",False,"1,31"
0154.png,é,,"1,00","1,00","0,00","0,00","0,00",False,"0,88"
0155.png,dever,dever,"0,00","0,00","1,00","1,00","1,00",True,"1,12"
0156.png,do,do,"0,00","0,00","1,00","1,00","1,00",True,"1,01"
0157.png,estado,estado,"0,00","0,00","1,00","1,00","1,00",True,"2,01"
0158.png,por,por,"0,00","0,00","1,00","1,00","1,00",True,"1,02"
0159.png,meio,meio,"0,00","0,00","1,00","1,00","1,00",True,"1,43"
0160.png,da,da,"0,00","0,00","1,00","1,00","1,00",True,"1,18"
0161.png,lei,lei,"0,00","0,00","1,00","1,00","1,00",True,"0,88"
0162.png,rouanet,rouanet,"0,00","0,00","1,00","1,00","1,00",True,"1,31"
0163.png,(lei,lei,"1,00","0,25","1,00","0,75","0,86",False,"1,08"
0164.png,federal,federal,"0,00","0,00","1,00","1,00","1,00",True,"2,37"
0165.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"1,69"
0166.png,in-,l,"1,00","1,00","0,00","0,00","0,00",False,"0,92"
0167.png,centivo,centiuno,"1,00","0,29","0,75","0,86","0,80",False,"1,33"
0168.png,à,,"1,00","1,00","0,00","0,00","0,00",False,"1,64"
0169.png,cultura,cultura,"0,00","0,00","1,00","1,00","1,00",True,"3,89"
0170.png,nº,n°,"1,00","0,50","0,50","0,50","0,50",False,"2,20"
0171.png,8.313),8.313),"0,00","0,00","1,00","1,00","1,00",True,"1,02"
0172.png,incentivar,incentivar,"0,00","0,00","1,00","1,00","1,00",True,"1,22"
0173.png,a,,"1,00","1,00","0,00","0,00","0,00",False,"1,11"
0174.png,valoriza-,valoriza-,"0,00","0,00","1,00","1,00","1,00",True,"1,34"
0175.png,ção,cão,"1,00","0,33","0,67","0,67","0,67",False,"1,94"
0176.png,das,olas,"1,00","0,67","0,50","0,67","0,57",False,"1,03"
0177.png,manifestações,mdnhifestacões,"1,00","0,23","0,79","0,85","0,81",False,"10,33"
0178.png,"culturais,","culturais,","0,00","0,00","1,00","1,00","1,00",True,"1,62"
0179.png,garantindo,garantindo,"0,00","0,00","1,00","1,00","1,00",True,"1,36"
0180.png,a,,"1,00","1,00","0,00","0,00","0,00",False,"1,68"
0181.png,todos,todos,"0,00","0,00","1,00","1,00","1,00",True,"1,06"
0182.png,a,,"1,00","1,00","0,00","0,00","0,00",False,"1,94"
0183.png,plena,plena,"0,00","0,00","1,00","1,00","1,00",True,"1,23"
0184.png,liberdade,liberdade,"0,00","0,00","1,00","1,00","1,00",True,"1,29"
0185.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"1,43"
0186.png,expressar,expressar,"0,00","0,00","1,00","1,00","1,00",True,"1,12"
0187.png,suas,sudas,"1,00","0,25","0,80","1,00","0,89",False,"1,38"
0188.png,culturas,culturais,"1,00","0,12","0,89","1,00","0,94",False,"1,34"
0189.png,e,,"1,00","1,00","0,00","0,00","0,00",False,"1,61"
0190.png,costumes.,costumes.,"0,00","0,00","1,00","1,00","1,00",True,"1,08"
