file,ground_truth,extracted_text,word_error_rate,exact_match,elapsed
0072.png,discriminação,discriminação,"0,00",True,"0,82"
0073.png,com,com,"0,00",True,"0,63"
0074.png,participantes,participantes,"0,00",True,"0,83"
0075.png,de,"""image.jpg""","1,00",False,"0,79"
0076.png,determi-,determin,"1,00",False,"0,78"
0077.png,nadas,nadas,"0,00",True,"0,87"
0078.png,culturas.,cult uras,"2,00",False,"0,90"
0079.png,há,halla,"1,00",False,"0,82"
0080.png,preconceito,preconceitos,"1,00",False,"0,67"
0081.png,em,"""com""","1,00",False,"0,72"
0082.png,todos,todos,"0,00",True,"0,80"
0083.png,os,os,"0,00",True,"0,69"
0084.png,tipos,tipos,"0,00",True,"0,74"
0085.png,de,de,"0,00",True,"0,72"
0086.png,manifestações,manifestações,"0,00",True,"0,85"
0087.png,cultu-,cult,"1,00",False,"0,68"
0088.png,"rais,","""drais""","1,00",False,"0,74"
0089.png,tendo,tendo,"0,00",True,"0,78"
0090.png,foco,face,"1,00",False,"0,69"
0091.png,nas,mas,"1,00",False,"0,83"
0092.png,mais,mois,"1,00",False,"0,69"
0093.png,diferentes,diferentes,"0,00",True,"0,81"
0094.png,do,"""dodo""","1,00",False,"0,64"
0095.png,padrão,padrão,"0,00",True,"0,76"
0096.png,criado,criada,"1,00",False,"0,79"
0097.png,pela,pelada,"1,00",False,"0,67"
0098.png,"população,",população,"1,00",False,"0,78"
0099.png,principalmente,principamente,"1,00",False,"0,92"
0100.png,as,"""as""","1,00",False,"0,72"
0101.png,que,que,"0,00",True,"0,72"
0102.png,envolve,envolve,"0,00",True,"0,77"
0103.png,povos,pouos,"1,00",False,"0,74"
0104.png,negros,negros,"0,00",True,"0,82"
0105.png,que,image.png,"1,00",False,"0,72"
0106.png,permanecem,perma necem,"2,00",False,"0,78"
0107.png,com,"""com""","1,00",False,"0,82"
0108.png,suas,sudas,"1,00",False,"0,69"
0109.png,tradições,tradições,"0,00",True,"0,69"
0110.png,trazidas,travidas,"1,00",False,"0,76"
0111.png,de,"""image text""","2,00",False,"0,82"
0112.png,seu,seu,"0,00",True,"0,75"
0113.png,países.,"""poises""","1,00",False,"0,72"
0114.png,o,"""image data""","2,00",False,"0,72"
0115.png,ensino,pensino,"1,00",False,"0,85"
0116.png,da,dod,"1,00",False,"0,78"
0117.png,pluralidade,pluraridde,"1,00",False,"0,83"
0118.png,e,e,"0,00",True,"0,64"
0119.png,diversidade,diversidade,"0,00",True,"0,89"
0120.png,do,"""dodo""","1,00",False,"0,73"
0121.png,lu-,10-,"1,00",False,"0,72"
0122.png,gar,808,"1,00",False,"0,73"
0123.png,onde,"""onde""","1,00",False,"0,75"
0124.png,vivemos,widemos,"1,00",False,"0,84"
0125.png,deve,"""de deux""","2,00",False,"0,71"
0126.png,ser,serv,"1,00",False,"0,66"
0127.png,implantado,"""implantado""","1,00",False,"0,92"
0128.png,nas,nos,"1,00",False,"0,67"
0129.png,ins-,"""ins""","1,00",False,"0,72"
0130.png,tituições,titulos,"1,00",False,"0,70"
0131.png,de,de,"0,00",True,"0,71"
0132.png,ensino,en sino,"2,00",False,"0,75"
0133.png,de,"""image data""","2,00",False,"0,71"
0134.png,nosso,posso,"1,00",False,"0,65"
0135.png,"país,",pais,"1,00",False,"0,75"
0136.png,para,"""qpara""","1,00",False,"0,62"
0137.png,apren-,"""apprendre""","1,00",False,"0,72"
0138.png,dermos,dermos,"0,00",True,"0,76"
0139.png,desde,desde,"0,00",True,"0,71"
0140.png,cedo,"""ce dos""","2,00",False,"0,74"
0141.png,a,,"1,00",False,"0,66"
0142.png,valorizar,valorizar,"0,00",True,"0,70"
0143.png,e,image.png,"1,00",False,"0,66"
0144.png,enaltecer,enaltecer,"0,00",True,"0,86"
0145.png,a,the image contains the character '5'.,"6,00",False,"0,71"
0146.png,nossa,nossa,"0,00",True,"0,71"
0147.png,cultura.,cultura,"1,00",False,"0,72"
0148.png,tendo,tendo,"0,00",True,"0,77"
0149.png,em,e m .,"3,00",False,"0,92"
0150.png,vista,vista,"0,00",True,"0,64"
0151.png,as,"""as""","1,00",False,"0,70"
0152.png,falhas,falhas,"0,00",True,"0,69"
0153.png,"governamentais,",answer and men this,"4,00",False,"0,81"
0154.png,é,e,"1,00",False,"0,70"
0155.png,dever,developer,"1,00",False,"0,73"
0156.png,do,blo,"1,00",False,"0,87"
0157.png,estado,estado,"0,00",True,"0,72"
0158.png,por,"""apor""","1,00",False,"0,81"
0159.png,meio,meio,"0,00",True,"0,72"
0160.png,da,"""dô""","1,00",False,"0,69"
0161.png,lei,image.png,"1,00",False,"0,82"
0162.png,rouanet,rouanet,"0,00",True,"0,75"
0163.png,(lei,,"1,00",False,"0,73"
0164.png,federal,federal,"0,00",True,"0,79"
0165.png,de,image.png,"1,00",False,"0,82"
0166.png,in-,"""the provided image is not accessible to me.""","8,00",False,"0,75"
0167.png,centivo,centio,"1,00",False,"0,77"
0168.png,à,"""ä""","1,00",False,"0,82"
0169.png,cultura,cultura,"0,00",True,"0,63"
0170.png,nº,n°,"1,00",False,"0,64"
0171.png,8.313),8 313,"2,00",False,"0,82"
0172.png,incentivar,incentivar,"0,00",True,"0,83"
0173.png,a,6,"1,00",False,"0,65"
0174.png,valoriza-,valoriza-,"0,00",True,"0,79"
0175.png,ção,cao,"1,00",False,"0,74"
0176.png,das,"""image text""","2,00",False,"0,67"
0177.png,manifestações,manifest acos,"2,00",False,"0,91"
0178.png,"culturais,",culturais,"1,00",False,"1,36"
0179.png,garantindo,guarantinolo,"1,00",False,"0,85"
0180.png,a,"""the provided image contains the character 'a'.""","7,00",False,"0,76"
0181.png,todos,todos,"0,00",True,"0,67"
0182.png,a,5,"1,00",False,"0,80"
0183.png,plena,splendor,"1,00",False,"0,82"
0184.png,liberdade,"""liberdade""","1,00",False,"0,86"
0185.png,de,"""de""","1,00",False,"0,84"
0186.png,expressar,expression,"1,00",False,"0,86"
0187.png,suas,5065,"1,00",False,"0,72"
0188.png,culturas,culturas,"0,00",True,"0,74"
0189.png,e,"""please provide the image as text""","6,00",False,"0,72"
0190.png,costumes.,costumes,"1,00",False,"0,70"
